,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,À˘ Ù¿‡±
188,0.567,0.774,0.0959,0.592,0.578,0.374,0.0507,0.033,0.432,0.192,0.87,0.714,0.341,0.924,0.0687,0.8,0.813,8.85E-05,0.346,0.854,3.43E-12,1.95E-08,2.37E-14,9.45E-13,1.68E-08,1.24E-14,3.73E-08,6.26E-10,4.01E-10,1.82E-10,1.54E-11,8.29E-13,1.14E-13,2.85E-13,1.40E-10,1.96E-10,5.97E-12,0,4.87E-11,6.56E-13,0
189,0.193,0.857,0.837,0.506,0.895,0.876,0.87,0.379,0.504,0.033,0.469,0.63,0.958,0.317,0.254,0.439,0.829,0.775,0.593,0.892,4.34E-13,4.66E-09,6.97E-14,8.58E-14,2.11E-06,5.68E-14,1.12E-08,5.15E-11,5.32E-13,1.58E-08,5.86E-13,3.85E-13,6.57E-13,1.82E-13,3.44E-10,1.14E-09,4.15E-12,0,2.22E-11,0,0
190,0.399,0.767,0.805,0.309,0.0237,0.104,0.77,0.834,0.0815,0.546,0.863,0.441,0.589,0.0119,0.508,0.516,0.707,0.449,0.199,0.123,3.47E-11,1.38E-07,2.82E-12,3.18E-13,3.25E-07,2.28E-13,1.16E-07,1.08E-07,2.73E-09,3.87E-08,1.83E-11,2.76E-11,0,2.52E-12,1.25E-08,5.68E-09,2.02E-11,0,3.94E-08,0,1
191,0.915,0.939,0.817,0.647,0.872,0.243,0.886,0.115,0.323,0.173,0.862,0.338,0.395,0.527,0.815,0.634,0.107,0.303,0.503,0.346,4.77E-13,2.07E-09,4.97E-11,1.23E-14,7.16E-09,7.64E-15,1.74E-09,1.34E-09,3.63E-12,5.08E-10,2.41E-11,2.90E-13,0,7.34E-09,7.42E-07,9.94E-10,1.48E-12,0,6.56E-08,0,0
192,0.57,0.846,0.491,0.932,0.414,0.185,0.111,0.613,0.443,0.927,0.776,0.156,0.242,0.679,0.862,0.87,0.613,0.178,0.178,0.0878,2.05E-12,1.43E-08,5.48E-13,5.84E-14,8.17E-11,1.45E-14,1.19E-08,6.69E-09,2.58E-12,2.28E-09,1.43E-12,3.23E-14,0,3.74E-13,5.94E-08,3.48E-10,6.52E-13,0,5.72E-09,0,0
193,0.0682,0.439,0.944,0.512,0.812,0.776,0.632,0.694,0.696,0.86,0.261,0.278,0.396,0.518,0.676,0.522,0.548,0.838,0.774,0.749,5.89E-10,4.28E-08,2.08E-12,6.53E-11,1.15E-10,1.03E-11,3.80E-08,2.52E-06,0,8.60E-07,1.62E-11,0,7.46E-12,9.51E-12,7.23E-09,1.23E-09,4.87E-10,0,8.44E-09,0,3
194,0.0275,0.73,0.26,0.489,0,0.67,0.0572,0.648,0.771,0.265,0.596,0.151,0.171,0.418,0.64,0.923,0.31,0.239,0.887,0.5,5.63E-11,1.62E-07,2.36E-12,1.21E-11,1.41E-11,2.21E-13,1.35E-07,9.97E-08,5.07E-13,3.39E-08,1.57E-12,1.83E-13,0,1.03E-11,2.84E-08,1.08E-09,9.94E-12,0,2.48E-08,0,3
195,0.278,0.641,0.492,0.0393,0.846,0.269,0.937,0.363,0.0097,0.155,0.362,0.461,0.499,0.919,0.588,0.399,0.749,0.909,0.327,0.526,1.76E-13,9.86E-10,2.58E-14,5.37E-12,2.78E-13,1.59E-15,8.29E-10,6.56E-10,7.42E-15,2.23E-10,1.38E-14,1.02E-15,0,7.40E-14,3.42E-10,5.96E-12,1.36E-13,0,1.64E-10,0,3
196,0.425,0.512,0.272,0.543,0.935,0.308,0.747,0.851,0.604,0.13,0.436,0.919,0.432,0.531,0.184,0.56,0.401,0.704,0.0521,0.614,1.76E-10,1.40E-06,1.03E-11,1.62E-09,6.46E-11,1.27E-12,1.17E-06,6.45E-07,1.31E-12,2.20E-07,5.34E-12,1.66E-12,1.31E-12,3.64E-11,2.50E-07,5.65E-09,7.87E-11,0,1.93E-08,0,0
197,0.543,0.514,0.712,0.769,0.664,0.52,0.789,0.757,0.932,0.252,0.586,0.916,0.871,0.436,0.844,0.942,0.197,0.0997,0.217,0.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0.199,0.356,0.293,0.823,0.874,0.678,0.000185,0.246,0.972,0.495,0.518,0.258,0.376,0.481,0.883,0.136,0.016,0.228,0.89,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0.46,0.00497,0.14,0.478,0.376,0.0421,0.171,0.79,0.571,0.943,0.575,0.635,0.617,0.528,0.354,0.802,0.257,0.238,0.467,0.0347,5.07E-12,9.87E-08,1.84E-13,1.30E-11,5.55E-11,4.03E-14,8.21E-08,9.97E-09,4.08E-13,3.39E-09,3.30E-11,7.40E-13,0,2.99E-12,1.19E-05,1.25E-09,3.08E-12,0,5.36E-07,0,3
200,0.661,0.845,0.343,0.697,0.308,0.252,0.0944,0.381,0.505,0.0799,0.949,0.848,0.238,0.963,0,0.837,0.415,0.296,0.713,0.965,7.12E-12,7.89E-05,2.96E-11,1.91E-11,2.44E-06,2.93E-11,6.05E-06,1.05E-10,4.70E-12,3.31E-09,2.56E-11,1.74E-13,1.20E-11,5.29E-10,1.72E-10,3.47E-13,5.77E-10,6.44E-15,1.20E-12,1.61E-11,0
201,0.584,0.604,0.862,0.378,0.374,0,0.24,0.174,0.86,0.833,0.484,0.221,0.525,0.333,0.0627,0.949,0.761,0.4,0.112,0.27,2.24E-11,0.000273911,1.77E-10,1.15E-10,1.95E-05,1.76E-10,3.19E-05,5.10E-10,6.34E-12,9.33E-09,1.14E-10,9.42E-14,1.37E-11,1.05E-10,2.68E-10,1.30E-12,5.20E-10,4.05E-14,2.27E-12,1.34E-12,2
202,0.846,0.586,0.54,0.875,0.0527,0.666,0.119,0.107,0.456,0.712,0.734,0.575,0.698,0.0964,0.593,0.418,0.586,0.186,0.477,0.357,2.63E-14,2.33E-07,2.19E-13,1.41E-13,1.77E-08,2.16E-13,1.68E-08,6.16E-13,5.97E-15,8.58E-12,1.95E-13,2.03E-16,6.94E-15,1.36E-13,2.19E-12,6.59E-15,8.35E-13,0,0,2.19E-15,2
203,0.282,0.293,0.193,0.492,0.425,0.13,0.55,0.477,0.225,0.833,0.0785,0.476,0.132,0.2,0.935,0.597,0.761,0.748,0.856,0.956,7.01E-13,0.000725055,9.28E-13,2.29E-13,2.81E-08,5.50E-13,3.50E-05,0,2.82E-13,0,5.58E-12,6.69E-13,0,1.86E-12,4.61E-12,0,0,6.72E-15,0,2.23E-12,3
204,0.94,0.713,0.888,0.303,0.966,0.709,0.0871,0.234,0.779,0.495,0.755,0.122,0.748,0.262,0.0667,0.515,0.189,0.542,0.438,0.108,2.32E-13,0.005202286,1.25E-12,0,5.94E-08,1.15E-12,7.63E-05,0,3.70E-13,0,2.16E-13,1.46E-12,0,9.79E-13,0,0,0,2.55E-14,0,4.83E-12,2
205,0.665,0.583,0.224,0.858,0.166,0.872,0.929,0.213,0.286,0.712,0.788,0.594,0.00806,0.57,0.0515,0.0828,0.124,0.55,0.595,0.0302,3.38E-14,0.000263798,1.17E-13,4.41E-14,7.53E-09,1.09E-13,6.71E-06,0,3.89E-14,0,5.96E-14,1.13E-13,0,7.90E-14,0,0,0,9.61E-16,0,3.86E-13,1
206,0.529,0.127,0.472,0.335,0.304,0.232,0.515,0.575,0.854,0.822,0.436,0.0507,0.00021,0.774,0.838,0.298,0.0225,0.191,0.525,0.607,0,0.000656894,0,0,0,0,1.14E-06,0,0,0,0,1.46E-14,0,0,0,0,0,0,0,0,1
207,0.858,0.156,0.504,0.559,0.909,0.00508,0.0624,0.45,0.62,0.501,0.24,0.728,0.824,0.742,0.367,0.133,0.348,0.000359,0.399,0.308,2.53E-12,1.09E-06,2.64E-13,2.46E-13,2.53E-07,1.71E-13,1.15E-07,1.21E-11,2.02E-12,1.64E-10,2.92E-12,8.49E-12,3.90E-13,4.96E-12,5.68E-13,7.12E-14,5.11E-11,0,1.38E-10,1.32E-12,2
208,0.0756,0.899,0.957,0.81,0.0308,0.388,0.611,0.645,0.349,0.222,0.666,0.856,0.822,0.352,0.225,0.742,0.835,0.162,0.64,0.502,6.58E-11,0.00024864,6.51E-12,7.68E-11,7.49E-06,1.00E-11,0.000551333,5.24E-10,2.07E-11,1.40E-07,8.41E-11,3.29E-12,4.74E-09,1.47E-11,4.59E-11,1.27E-12,2.83E-07,6.23E-12,2.18E-10,1.36E-10,2
209,0.862,0.711,0.483,0.35,0.91,0.892,0.799,0.89,0.445,0,0.604,0.379,0.669,0.792,0.268,0.206,0.351,0.404,0.845,0.725,8.50E-12,2.08E-05,1.95E-12,6.77E-13,6.17E-09,1.73E-13,9.02E-06,5.48E-11,5.02E-11,3.29E-08,1.40E-10,6.96E-14,3.03E-10,3.08E-13,1.10E-07,3.38E-10,2.84E-07,0,3.34E-10,2.62E-11,1
210,0.363,0.304,0.000125,0.278,0.935,0.0927,0.715,0.602,0.829,0.122,0.723,0.49,0.211,0.539,0.363,0.274,0.477,0.528,0.0113,0.572,4.75E-11,3.55E-06,2.87E-11,2.21E-11,0.001538438,2.88E-11,8.17E-06,4.50E-09,1.65E-11,1.15E-05,2.98E-11,1.76E-13,4.77E-10,1.71E-11,5.14E-10,4.83E-11,3.02E-09,1.40E-13,0,0,0
211,0.377,0.932,0.719,0.568,0.587,0.208,0.0972,0.824,0.498,0.786,0.305,0.153,0.876,0.253,0.807,0.859,0.049,0.0492,0.0809,0.283,1.57E-12,2.09E-06,2.96E-12,2.14E-12,0.00068748,2.95E-12,5.05E-06,1.47E-10,3.58E-13,1.57E-07,2.22E-12,7.50E-15,1.93E-11,1.74E-12,7.01E-12,2.13E-13,5.05E-10,6.33E-15,1.66E-12,0,3
212,0.897,0.246,0.624,0.285,0.771,0.212,0.707,0.265,0.0587,0.194,0.067,0.329,0.82,0.798,0.702,0.885,0.202,0.973,0.583,0.626,9.32E-11,1.85E-07,4.70E-12,3.08E-12,0.030173121,4.81E-12,2.04E-07,1.62E-08,1.94E-11,7.26E-08,1.98E-12,1.78E-14,7.42E-12,2.75E-12,0,0,6.68E-11,0,0,0,2
213,0.806,0.61,0.795,0.736,0.402,0.326,0.93,0.613,0.859,0.608,0.099,0.00922,0.856,0.648,0.644,0.000125,0.63,0.0887,0.815,0.246,2.21E-10,1.58E-07,6.59E-13,9.84E-13,0.008656715,1.06E-12,4.03E-07,3.52E-08,4.49E-11,1.70E-07,5.70E-12,2.94E-14,6.89E-11,4.24E-13,9.09E-12,0,3.63E-10,0,0,0,2
214,0.213,0.426,0.623,0.53,0.533,0.197,0.235,0.785,0.000211,0.634,0.219,0.827,0.429,0.169,0.319,0.352,0.0971,0.282,0.142,0.685,5.43E-14,4.35E-09,8.74E-14,5.67E-14,5.79E-06,8.59E-14,8.40E-09,5.83E-12,8.73E-15,3.04E-10,2.45E-13,1.67E-15,4.68E-14,5.10E-14,2.26E-12,1.35E-13,1.39E-12,0,3.15E-15,0,3
215,0.388,0.757,0.847,0.226,0.964,0.339,0.0956,0.881,0.524,0.339,0.165,0.903,0.427,0.879,7.85E-05,9.18E-05,0.535,0.844,0.783,0.141,1.06E-12,7.29E-10,2.26E-15,3.48E-10,2.62E-07,1.62E-15,1.59E-09,1.03E-12,1.99E-13,1.96E-10,6.31E-14,4.05E-14,4.19E-13,3.10E-13,6.70E-13,4.21E-14,2.34E-12,5.01E-17,6.54E-16,1.17E-14,1
216,0.159,0.188,0.0114,0.108,0.614,0.869,0.934,0.176,0.16,0.673,0.89,0.000148,0.0482,4.01E-05,0.797,0.554,0.697,0.932,0.794,0.712,1.95E-13,1.67E-10,1.26E-13,1.06E-15,3.15E-08,1.67E-12,3.79E-10,7.56E-14,5.21E-15,2.40E-12,6.30E-14,8.26E-15,1.45E-14,3.17E-16,2.62E-12,2.66E-13,6.52E-14,0,4.05E-16,7.44E-16,0
217,0.782,0.714,0.391,0.494,0.428,0.359,0.421,0.558,0.97,0.81,0.273,0.791,0.15,0.562,0.879,0.86,0.903,0.283,0.042,0.571,4.36E-15,1.34E-10,6.39E-15,6.14E-15,3.24E-07,1.15E-14,1.16E-10,1.67E-14,1.85E-15,1.80E-11,4.75E-13,1.75E-16,2.50E-15,3.50E-15,4.62E-11,2.87E-12,3.62E-14,0,2.38E-15,0,0
218,0.631,0.414,0.27,0.856,0.657,0.344,0.000263,0.692,0.164,0.894,0.465,0.253,0.314,0.35,0.61,0.378,0.592,0.898,0.609,0.54,1.45E-12,3.19E-11,1.10E-15,1.13E-14,1.09E-08,6.50E-14,8.01E-12,5.24E-13,9.15E-15,8.41E-13,9.47E-14,1.49E-14,1.56E-15,7.88E-15,3.18E-12,9.76E-14,1.68E-14,0,1.84E-16,7.78E-15,3
219,0.326,0.0559,0.762,0.333,0.434,0.449,0.467,0.235,0.466,0.129,0.198,0.525,0.337,0.824,0.439,0.764,0.779,0.299,0.0517,0.755,8.71E-12,5.57E-05,1.42E-13,5.57E-11,6.38E-06,2.48E-13,0,1.05E-12,3.93E-13,3.61E-10,4.87E-11,2.56E-12,6.28E-14,8.65E-14,1.18E-09,6.42E-11,1.60E-12,0,0,5.42E-13,3
220,0.218,0.854,0.798,0.901,0.946,0.00853,0.78,0.787,0.706,0.507,0.438,0.762,0.138,0.585,0.0665,0.959,0.271,0.703,0.413,0.349,2.86E-13,1.29E-10,2.40E-15,6.66E-13,7.28E-08,3.68E-15,3.89E-11,3.96E-15,1.22E-14,4.02E-12,1.03E-12,9.39E-15,2.48E-16,1.99E-15,1.48E-11,7.19E-13,4.14E-14,0,6.21E-15,1.37E-15,0
221,0.643,0.306,0.916,0.658,0.843,0.961,0.000171,0.457,0.851,0.467,0.408,0.617,0.903,0.247,0.671,0.46,0.0751,0.593,0.661,0.222,1.02E-12,7.47E-10,3.81E-14,3.60E-12,1.05E-07,8.48E-15,1.38E-09,4.28E-12,6.70E-14,1.14E-11,1.57E-12,1.42E-14,7.87E-14,4.85E-15,3.93E-11,1.85E-12,3.13E-11,0,9.71E-14,1.86E-14,2
222,0.789,0.108,0.48,0.124,0.348,0.268,0.567,0.814,0.212,0.819,0.488,0.574,0.0756,0.44,0.138,0.782,0.000241,0.118,0.34,0.67,1.07E-11,2.93E-10,1.04E-14,1.65E-12,3.99E-07,1.17E-11,2.08E-10,2.33E-10,3.29E-14,2.22E-11,7.69E-13,4.00E-13,1.20E-15,5.48E-14,6.97E-11,4.02E-12,2.15E-13,0,1.28E-14,0,1
223,0.697,0.457,0.478,0.571,0.587,0.732,0.3,0.662,0.557,0.643,0.0499,0.586,0.465,0.432,0.589,0.456,0.893,0.0576,0.525,0.613,9.34E-11,3.50E-09,2.08E-12,7.73E-10,3.80E-08,5.44E-13,1.89E-09,3.86E-12,7.18E-12,3.38E-11,1.10E-09,1.96E-12,2.52E-13,2.74E-13,5.11E-09,1.50E-10,1.46E-10,0,5.70E-13,1.12E-13,2
224,0.122,0.718,0.419,0.184,0.104,0.693,0.358,0.0512,0.386,0.946,0.938,0.0494,0.543,0.184,0.548,0.154,0.392,0.415,0.383,0.831,1.00E-11,1.98E-10,5.44E-14,1.78E-11,1.77E-09,3.62E-14,8.95E-11,1.50E-13,7.22E-13,3.72E-12,1.78E-11,1.78E-13,2.63E-14,1.41E-14,2.09E-09,5.09E-12,2.20E-11,0,1.31E-13,1.08E-14,3
225,0.961,0.0945,0.0882,0.0308,0.861,0.78,0.865,0.57,0.3,0.167,0.962,0.546,0.93,0.24,0.000113,0.767,0.458,0.0699,0.854,0.0058,4.11E-12,2.09E-11,1.80E-14,3.55E-13,1.59E-10,6.87E-14,3.28E-12,5.45E-14,2.74E-13,9.73E-14,4.27E-13,7.70E-14,1.83E-16,2.12E-15,2.31E-10,3.40E-11,1.36E-13,0,6.28E-14,6.24E-15,1
226,0.622,0.923,0.0488,0.517,0.483,0.265,0.0167,0.8,0.358,0.902,0.245,0.0375,0.643,0.677,0.315,0.958,0.276,0.0771,0.918,0.269,1.53E-12,4.74E-11,4.77E-15,9.90E-13,1.73E-08,5.55E-15,1.42E-11,3.07E-14,2.07E-13,1.47E-12,4.45E-12,5.46E-14,6.61E-16,7.15E-15,6.03E-10,3.50E-11,2.86E-13,0,1.37E-13,5.58E-14,3
227,0.261,0.0281,0.105,0.134,0.0305,0.288,0.22,0.93,0.719,0.42,0.683,0.686,0.725,0.548,0.513,0.36,0.0715,0.0996,0.0068,0.138,3.41E-11,2.29E-09,2.06E-13,3.56E-11,2.01E-06,8.63E-13,2.22E-09,5.08E-12,1.71E-12,1.14E-09,1.03E-10,4.99E-13,2.56E-13,2.02E-13,1.24E-07,1.89E-10,1.28E-09,0,1.31E-11,6.70E-14,1
228,0.416,0.011,0.872,0.877,0.172,0.846,0.722,0.551,0.927,0.362,0.668,0.419,0.0538,0.497,0.668,0.506,0.229,0.084,0.924,0.801,3.27E-14,1.05E-12,6.29E-15,8.94E-15,3.42E-10,8.06E-17,8.29E-13,2.43E-15,1.99E-13,1.02E-13,1.39E-13,9.30E-16,4.77E-17,4.16E-13,8.24E-13,9.37E-14,1.35E-14,0,5.63E-12,0,0
229,0.232,0.474,0.857,0.00479,0.591,0.398,0.695,0.471,0.123,0.0747,0.689,0.486,0.0242,0.449,0.69,0.0801,0.535,0.34,0.26,0.632,4.08E-13,8.83E-12,9.76E-15,6.24E-14,4.39E-09,4.51E-15,4.64E-12,5.06E-13,3.40E-12,8.53E-13,3.49E-12,2.74E-14,7.30E-16,6.59E-13,1.58E-10,1.08E-11,2.01E-12,0,9.29E-12,1.31E-14,0
230,0.727,0.0951,0.411,0.497,0.728,0.241,0.803,0.162,0.756,0.417,0.166,0.722,0.000303,0.688,0.565,0.843,0.0112,0.0719,0.756,0.0586,1.20E-14,2.45E-12,1.80E-15,7.93E-16,3.52E-10,6.41E-16,9.83E-13,3.03E-13,1.06E-13,1.16E-13,2.86E-13,6.29E-16,1.98E-17,1.73E-15,6.14E-13,2.10E-13,4.80E-15,0,1.37E-13,6.26E-16,2
231,0.71,0.763,0.245,0.193,0.481,0.698,0.291,0.53,0.864,0.0586,0.241,0.852,0.745,0.101,0.0301,0.21,0.189,0.265,0.499,0.364,4.68E-12,4.08E-11,2.48E-14,8.39E-12,1.37E-09,2.99E-14,1.96E-11,1.38E-10,2.54E-10,9.60E-13,4.36E-11,7.13E-13,1.56E-15,2.06E-13,1.84E-10,6.90E-09,7.25E-13,0,3.95E-11,0,2
232,0.132,0.326,0.137,0.795,7.12E-05,0.159,0.431,0.869,0.0317,0.75,0.734,0.123,0.737,0.313,0.887,0.846,0.898,0.0532,0.341,0.616,1.82E-11,6.54E-10,9.86E-13,1.85E-11,1.26E-08,4.19E-13,1.31E-09,8.11E-11,5.23E-11,3.16E-11,1.27E-08,3.70E-12,0,3.79E-11,1.03E-08,1.20E-09,6.14E-12,0,7.22E-09,0,3
233,0.161,0.959,0.248,0.823,0.547,0.474,0.491,0.84,0.0589,0.302,0.31,0.775,0.431,0.911,0.883,0.614,0.525,0.186,0.947,0.0916,8.44E-12,2.27E-12,1.35E-14,2.51E-14,1.62E-11,1.44E-15,3.01E-12,3.37E-13,2.38E-13,1.68E-13,1.73E-11,1.90E-14,0,1.42E-12,9.91E-12,2.04E-11,4.35E-14,0,3.57E-10,0,3
234,0.162,0.243,0.164,0.14,0.387,0.343,0.138,0.483,0.191,0.964,0.65,0.145,0.841,0.477,0.704,0.971,0.727,0.0331,0.542,0.292,1.44E-14,6.65E-15,1.31E-16,1.55E-16,2.22E-13,5.57E-18,6.93E-15,1.07E-13,1.78E-13,5.31E-15,4.46E-14,4.30E-16,1.64E-17,1.25E-15,1.69E-14,1.55E-13,5.71E-16,0,3.10E-13,1.47E-15,3
235,0.546,0.0134,0.225,0.0455,0.924,0.523,0.241,0.261,0.931,0.338,0.0655,0.196,0.875,0.769,0.937,0.087,0.358,0.142,0.399,0.928,3.16E-12,1.66E-11,2.25E-14,3.25E-14,2.86E-09,3.57E-16,2.05E-11,3.31E-11,4.21E-11,2.52E-11,6.59E-13,8.33E-14,0,2.06E-12,1.89E-11,4.27E-10,6.06E-13,0,5.25E-10,0,3
236,0.9,0.272,0.605,0.0178,0.795,0.151,0.133,0.688,0.385,0.846,0.417,0.534,0.0287,0.963,0.678,0.117,0.903,0.758,0.338,0.155,1.06E-09,1.97E-10,2.14E-12,1.14E-11,1.24E-08,2.45E-14,2.03E-10,6.93E-09,1.29E-08,1.38E-10,4.54E-11,2.43E-11,3.54E-14,1.04E-11,1.72E-10,9.34E-10,5.54E-11,0,2.60E-09,1.86E-12,1
237,0.482,0.0454,0.202,0.344,0.334,0.0944,0.4,0.757,0.721,0.141,0.859,0.957,0.681,0.0563,0.567,0.115,0.944,0.513,0.661,0.295,2.91E-11,2.30E-08,2.10E-13,4.70E-13,2.22E-08,6.35E-14,6.24E-09,3.83E-08,2.37E-08,8.74E-09,1.72E-11,4.64E-11,1.19E-13,3.83E-12,1.38E-09,9.38E-09,1.51E-11,0,1.06E-09,1.31E-11,0
238,0.93,0.851,0.604,0.187,0.379,0.518,0.527,0.664,0.715,0.972,0.0115,0.133,0.96,0.843,0.141,0.842,0.706,0.232,0.193,0.729,1.16E-13,7.58E-10,9.01E-15,3.93E-15,7.79E-08,2.49E-15,5.98E-10,2.10E-10,7.89E-11,6.41E-10,9.11E-14,1.51E-13,2.61E-14,4.69E-15,2.02E-11,2.92E-11,2.05E-13,0,3.92E-12,4.68E-14,2
239,0.88,0.332,0.966,0.71,0.913,0.464,0.885,0.424,9.44E-06,0.104,0.72,0.107,0.0311,0.565,0.267,0.119,0.877,0.408,0.335,0.498,2.07E-14,4.90E-10,6.46E-15,2.50E-09,2.15E-07,5.84E-15,1.15E-09,4.16E-11,2.94E-12,4.92E-07,2.52E-13,5.79E-15,6.69E-14,3.96E-15,2.63E-12,2.59E-12,3.83E-13,0,4.50E-12,0,2
240,0.317,0.316,0.0604,0.387,0,0.298,0.276,0.39,0.903,0.102,0.967,0.0857,0.506,0.146,0.955,0.507,0.643,0.0826,0.912,0.444,1.32E-13,2.70E-10,1.05E-14,1.51E-15,2.52E-09,5.63E-16,2.31E-10,2.19E-10,9.22E-12,9.18E-11,7.10E-14,5.86E-14,4.92E-16,1.55E-14,2.60E-11,6.50E-11,6.61E-14,0,8.32E-11,0,0
241,0.506,0.103,0,0.657,0.226,0.0446,0.923,0.699,0.0323,0.297,0.811,0.59,0.0229,0.953,0.513,0.732,0.239,0.694,0.815,0.0275,5.31E-14,1.15E-10,4.46E-14,1.51E-15,1.36E-09,1.58E-15,1.00E-10,1.78E-10,1.77E-12,7.05E-11,0,3.72E-15,0,3.14E-14,2.89E-08,3.94E-11,7.12E-14,0,2.55E-09,0,1
242,0.38,0.114,0.659,0.227,0.443,0.841,0.894,0.283,0.533,0.557,0.0185,0.199,0.361,0.563,0.515,0.7,0.0955,0.519,0.661,0.699,1.72E-14,4.27E-11,1.85E-12,9.50E-16,3.65E-13,9.00E-16,3.55E-11,4.30E-11,8.73E-12,1.47E-11,3.97E-12,3.36E-16,0,1.72E-12,6.70E-12,1.40E-12,4.46E-15,0,2.87E-11,0,2
243,0.664,0.864,0.298,0.131,0.213,0.53,0.931,0.341,0.881,0.518,0.641,0.857,0.67,0.364,0.00115,0.101,0.562,0.388,0.27,0.22,1.85E-14,1.69E-11,6.69E-13,4.15E-14,4.34E-14,5.38E-17,1.42E-11,2.62E-11,2.16E-14,8.91E-12,1.25E-14,7.93E-17,0,2.97E-13,4.38E-12,1.68E-11,2.73E-15,0,6.18E-12,0,1
244,0.351,0.219,0.349,0.775,0.137,0.953,0.236,0.482,0.0101,0.896,0.735,0.687,0.362,0.737,0.694,0.218,0.158,0.271,0.387,0.843,6.46E-11,2.55E-07,3.35E-12,1.02E-11,9.75E-11,4.71E-13,2.12E-07,2.37E-07,9.08E-13,8.07E-08,6.19E-12,2.92E-13,5.79E-13,1.04E-11,3.80E-08,1.52E-09,2.06E-11,0,4.30E-09,0,1
245,0.367,0.377,0.333,0.16,0.838,0.608,0.273,0.936,0.239,0.314,0.971,0.796,0.524,0.105,0.341,0.0104,0.372,0.966,0.462,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,0.284,0.744,0.588,0.319,0.0524,0.578,0.825,0.0696,0.891,0.0577,0.455,8.36E-05,0.168,0.933,0.41,0.539,0,0.426,0.606,0.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
247,0.458,0.294,0.764,0.203,0.588,0.274,0.0624,0.918,0.139,0.65,0.191,0.391,0.911,0.363,0.507,0.277,0.66,0.468,0,0.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679591933,0,0,3
248,0.641,0.781,0.305,0.934,0.13,0.726,0.669,0.833,0.161,0.343,0.0088,0.81,0.578,0.697,0.24,0.373,0.769,0.631,0.576,0.642,8.23E-15,1.09E-09,5.79E-16,2.81E-15,1.58E-13,8.60E-17,9.05E-10,1.04E-11,9.63E-16,3.53E-12,1.21E-13,1.58E-15,0,1.09E-15,5.00E-08,6.83E-12,1.83E-14,0,5.40E-09,0,1
249,0.421,0.941,0.866,0.372,0.835,0.744,0.741,0.229,0.293,0.687,0.86,0.428,0.413,0.752,0.636,0.687,0.816,0.822,0.0672,0.789,1.77E-12,3.14E-06,8.12E-14,1.04E-12,1.47E-10,1.24E-14,2.54E-06,4.94E-09,1.09E-11,1.70E-09,1.53E-11,1.72E-13,0,9.48E-13,2.62E-06,3.92E-09,2.50E-11,0,2.02E-07,0,0
250,0.737,0.134,0.0759,0.17,0.95,0.825,0.933,0.162,0.209,0.516,0.445,0.961,0.747,0.913,0.252,0.229,0.0826,0.0591,0.806,0.202,1.42E-15,3.98E-09,5.93E-16,6.17E-16,3.98E-11,5.40E-16,2.07E-09,4.34E-15,1.35E-16,1.10E-12,2.38E-14,3.55E-17,1.89E-14,1.70E-15,7.42E-12,5.63E-15,1.17E-11,0,3.53E-15,8.82E-16,1
251,0.376,0.758,0.293,0.501,0.614,0.619,0.127,0.806,0.309,0.803,0.531,0.0246,0.701,0.159,0.634,0.686,0.159,0.151,0.0704,0.494,5.50E-12,6.33E-05,2.12E-11,1.63E-11,1.74E-06,2.07E-11,2.83E-05,7.39E-11,1.00E-12,7.78E-09,4.60E-11,1.14E-13,3.66E-11,1.40E-11,3.47E-10,4.83E-13,8.70E-10,0,1.65E-11,2.79E-12,3
252,0.678,0.169,0.887,0.216,0.366,0.653,0.241,0.0604,0.944,0.954,0.152,0.18,0.923,0.0954,0.621,0.964,0.151,0.243,0.662,0.7,4.18E-15,7.60E-09,3.03E-13,5.17E-15,9.17E-10,6.89E-15,1.93E-09,5.89E-14,1.07E-15,9.12E-12,5.55E-13,3.79E-17,6.58E-14,4.83E-15,2.12E-14,1.21E-16,6.57E-13,3.37E-18,1.18E-16,5.59E-15,2
253,0.209,0.424,0.513,0.032,0.33,0.656,0.355,0.0744,0.649,0.178,0.281,0.59,0.113,0.973,0.545,0,0.903,0.917,0.556,0.384,5.76E-12,1.54E-05,1.59E-13,2.98E-13,6.58E-09,7.49E-13,5.43E-06,1.30E-11,5.50E-13,1.37E-10,2.96E-08,1.65E-14,3.51E-12,1.04E-13,3.21E-11,3.96E-14,4.53E-11,0,8.93E-12,3.59E-13,1
